DB,UT,DI,PMID,TI,SO,JI,PY,DT,LA,TC,AU,AF,C1,RP,CR,DE,ID,AB,VL,IS,BP,EP,SR
OPENALEX,W2101234009,10.48550/arxiv.1201.0490,,Scikit-learn: Machine Learning in Python,ARXIV (CORNELL UNIVERSITY),arXiv (Cornell University),2012,Preprint,en,63647,"['Pedregosa F', 'Varoquaux G', 'Gramfort A', 'Michel V', 'Thirion B', 'Grisel O', 'Blondel M', 'Andreas ', 'Joel ', 'Gilles ', 'Prettenhofer P', 'Weiss R', 'Dubourg V', 'Vanderplas J', 'Passos A', 'Cournapeau D', 'Brucher M', 'Perrot M', 'Duchesnay É']","['Pedregosa, Fabián', 'Varoquaux, Gaël', 'Gramfort, Alexandre', 'Michel, Vincent', 'Thirion, Bertrand', 'Grisel, Olivier', 'Blondel, Mathieu', 'Andreas, Müller,', 'Joel, Nothman,', 'Gilles, Louppe,', 'Prettenhofer, Peter', 'Weiss, Ron J.', 'Dubourg, Vincent', 'Vanderplas, Jake', 'Passos, Alexandre', 'Cournapeau, David', 'Brucher, Matthieu', 'Perrot, Matthieu', 'Duchesnay, Édouard']","[""Commissariat à l'Énergie Atomique et aux Énergies Alternatives, FR"", 'CEA Paris-Saclay, FR', 'Nuxe (France), FR', 'Kobe University, JP', 'Bauhaus-Universität Weimar, DE', 'Google (Canada), CA', 'University of Washington, US', 'Amherst College, US', 'University of Massachusetts Amherst, US', 'Enthought (United States), US', 'Total (France), FR']","Commissariat à l'Énergie Atomique et aux Énergies Alternatives, FR","['W1496508106', 'W1571024744', 'W2024933578', 'W2035776949', 'W2040387238', 'W2047804403', 'W2063978378', 'W2097360283', 'W2097850441', 'W2118585731', 'W2146292423', 'W2152799677', 'W2153635508']",['Computational Physics and Python Applications'],"['Python (programming language)', 'Documentation', 'Computer science', 'MIT License', 'Artificial intelligence', 'Machine learning', 'Programming language', 'License', 'Software engineering', 'Operating system']","Scikit-learn is a Python module integrating a wide range of state-of-the-art machine learning algorithms for medium-scale supervised and unsupervised problems. This package focuses on bringing machine learning to non-specialists using a general-purpose high-level language. Emphasis is put on ease of use, performance, documentation, and API consistency. It has minimal dependencies and is distributed under the simplified BSD license, encouraging its use in both academic and commercial settings. Source code, binaries, and documentation can be downloaded from http://scikit-learn.org.",,,,,"Pedregosa F, 2012, arXiv (Cornell University)"
OPENALEX,W3023540311,10.5860/choice.27-0936,,"Genetic algorithms in search, optimization, and machine learning",CHOICE REVIEWS ONLINE,Choice Reviews Online,1989,Article,en,49332,[],[],[],,[],['Metaheuristic Optimization Algorithms Research'],"['Computer science', 'Artificial intelligence', 'Machine learning', 'Quality control and genetic algorithms', 'Algorithm', 'Genetic algorithm', 'Meta-optimization']","From the Publisher:
This book brings together - in an informal and tutorial fashion - the computer techniques, mathematical tools, and research results that will enable both students and practitioners to apply genetic algorithms to problems in many fields. 

Major concepts are illustrated with running examples, and major algorithms are illustrated by Pascal computer programs. No prior knowledge of GAs or genetics is assumed, and only a minimum of computer programming and mathematics background is required.",27,02,27,0936,"NA, 1989, Choice Reviews Online"
OPENALEX,W2125055259,,,C4.5: Programs for Machine Learning,,,1992,Book,en,23695,['Quinlan '],"['Quinlan, J. R.']","['University of Sydney, AU']","University of Sydney, AU",[],['Evolutionary Algorithms and Applications'],"['Computer science', 'Unix', 'Classifier (UML)', 'Machine learning', 'Artificial intelligence', 'Source code', 'Workstation', 'Software', 'Decision tree', 'Sample (material)', 'Software engineering', 'Data mining', 'Programming language', 'Operating system', 'Chromatography', 'Chemistry']","Classifier systems play a major role in machine learning and knowledge-based systems, and Ross Quinlan's work on ID3 and C4.5 is widely acknowledged to have made some of the most significant contributions to their development. This book is a complete guide to the C4.5 system as implemented in C for the UNIX environment. It contains a comprehensive guide to the system's use , the source code (about 8,800 lines), and implementation notes. The source code and sample datasets are also available for download (see below). C4.5 starts with large sets of cases belonging to known classes. The cases,",,,,,"Quinlan, 1992, "
OPENALEX,W1570448133,10.1016/c2009-0-19715-5,,Data Mining: Practical Machine Learning Tools and Techniques,ELSEVIER EBOOKS,Elsevier eBooks,2011,Book,en,25711,"['Witten I', 'Frank E', 'Hall M']","['Witten, Ian H.', 'Frank, Eibe', 'Hall, Mark A.']",[],,"['W23418094', 'W24402856', 'W28412257', 'W43179442', 'W64096637', 'W66926763', 'W69783631', 'W122789262', 'W123339444', 'W138217685', 'W149472151', 'W173229765', 'W187357405', 'W586094522', 'W589058777', 'W1483135265', 'W1483679765', 'W1492324553', 'W1492698999', 'W1495859460', 'W1500698297', 'W1506285740', 'W1513366687', 'W1516443426', 'W1520687314', 'W1523856491', 'W1524704912', 'W1528113134', 'W1530010412', 'W1533544838', 'W1533946607', 'W1536719366', 'W1550206324', 'W1550821944', 'W1551066950', 'W1553019137', 'W1553313034', 'W1554663460', 'W1555244713', 'W1559060276', 'W1560107318', 'W1563088657', 'W1564947197', 'W1571836963', 'W1572964175', 'W1572978214', 'W1573228426', 'W1576962511', 'W1582036668', 'W1583700199', 'W1584333058', 'W1585221258', 'W1585610988', 'W1585743408', 'W1588100052', 'W1588282782', 'W1597165973', 'W1598333443', 'W1598696986', 'W1600437712', 'W1601529450', 'W1604345466', 'W1605275907', 'W1605688901', 'W1605957858', 'W1619226191', 'W1625504505', 'W1630964756', 'W1641039719', 'W1648885110', 'W1670263352', 'W1673310716', 'W1676820704', 'W1678889691', 'W1679846099', 'W1680392829', 'W1763728792', 'W1781794689', 'W1800049145', 'W1806329564', 'W1817561967', 'W1833977909', 'W1861764418', 'W1881647329', 'W1882120692', 'W1906182963', 'W1907578970', 'W1908888846', 'W1912123407', 'W1932571505', 'W1955600018', 'W1969482724', 'W1978515644', 'W1979711143', 'W1982161962', 'W1985593448', 'W1987947967', 'W1990748933', 'W1995945562', 'W2001619934', 'W2008906462', 'W2014725748', 'W2015401436', 'W2017337590', 'W2019575783', 'W2024046085', 'W2024646871', 'W2024668293', 'W2035890032', 'W2037603696', 'W2037768235', 'W2037965136', 'W2042385018', 'W2048679005', 'W2053154970', 'W2057720927', 'W2058732827', 'W2064853889', 'W2065861851', 'W2066636486', 'W2067098334', 'W2068337856', 'W2073308541', 'W2073583237', 'W2074610805', 'W2075665712', 'W2078579128', 'W2095749253', 'W2095897464', 'W2097089247', 'W2097569937', 'W2100406636', 'W2102009083', 'W2105494575', 'W2105497548', 'W2106393550', 'W2108949035', 'W2110119381', 'W2111746072', 'W2112076978', 'W2112841646', 'W2113242816', 'W2117812871', 'W2118020653', 'W2118383892', 'W2119821739', 'W2119885577', 'W2120216197', 'W2122111042', 'W2122410182', 'W2129113961', 'W2129249398', 'W2132166479', 'W2133632100', 'W2134696506', 'W2138064700', 'W2138621811', 'W2139059214', 'W2140190241', 'W2142767931', 'W2142819948', 'W2142957916', 'W2143349571', 'W2143426320', 'W2144907232', 'W2146257637', 'W2147492008', 'W2147810216', 'W2148949939', 'W2149706766', 'W2153028052', 'W2154318594', 'W2154642793', 'W2156909104', 'W2160642098', 'W2161077873', 'W2163915185', 'W2164818318', 'W2166559705', 'W2167793421', 'W2170112109', 'W2170654002', 'W2170726034', 'W2170913656', 'W2172162418', 'W2172780573', 'W2277957941', 'W2331052961', 'W2621280964', 'W2912934387', 'W2913066018', 'W2914369697', 'W2953014340', 'W2988864014', 'W3017143921', 'W3023540311', 'W3083113686', 'W3085162807', 'W3123294050', 'W3163638146', 'W3193477162', 'W3203633735', 'W3208887124']","['Data Mining Algorithms and Applications', 'Machine Learning and Data Classification', 'Algorithms and Data Compression']","['Computer science', 'Machine learning', 'Data science', 'Data mining', 'Artificial intelligence']","As with any burgeoning technology that enjoys commercial attention, the use of data mining is surrounded by a great deal of hype. Exaggerated reports tell of secrets that can be uncovered by setting algorithms loose on oceans of data. But there is no magic in machine learning, no hidden power, no alchemy. Instead there is an identifiable body of practical techniques that can extract useful information from raw data. This book describes these techniques and shows how they work. The book is a major revision of the first edition that appeared in 1999. While the basic core remains the same, it has been updated to reflect the changes that have taken place over five years, and now has nearly double the references. The highlights for the new edition include thirty new technique sections; an enhanced Weka machine learning workbench, which now features an interactive interface; comprehensive information on neural networks; a new section on Bayesian networks; plus much more.",,,,,"Witten I, 2011, Elsevier eBooks"
OPENALEX,W3120740533,,,UCI Machine Learning Repository,MEDICAL ENTOMOLOGY AND ZOOLOGY,Medical Entomology and Zoology,2007,Article,en,24320,['Asuncion A'],"['Asuncion, Arthur']",[],,[],"['Artificial Intelligence in Healthcare', 'Machine Learning and Data Classification']","['Computer science', 'Artificial intelligence']",,,,,,"Asuncion A, 2007, Medical Entomology and Zoology"
OPENALEX,W1663973292,10.1117/1.2819119,,Pattern Recognition and Machine Learning,JOURNAL OF ELECTRONIC IMAGING,Journal of Electronic Imaging,2007,Article,en,22082,['Nasrabadi N'],"['Nasrabadi, Nasser M.']","['West Virginia University, US', 'Microsoft Research (United Kingdom), GB']","West Virginia University, US","['W1480376833', 'W1496317909', 'W2117812871', 'W3215037115', 'W4232383088', 'W4292691288']","['Statistical Methods and Inference', 'Image and Signal Denoising Methods', 'Soil Geostatistics and Mapping']","['Computer science', 'Imaging science', 'Cover (algebra)', 'Data science', 'Artificial intelligence', 'Engineering', 'Mechanical engineering']","The <i>Journal of Electronic Imaging</i> (JEI), copublished bimonthly with the Society for Imaging Science and Technology, publishes peer-reviewed papers that cover research and applications in all areas of electronic imaging science and technology.",16,4,049901,049901,"Nasrabadi N, 2007, Journal of Electronic Imaging"
OPENALEX,W1639032689,,,"Genetic Algorithms in Search, Optimization and Machine Learning",,,1988,Book,en,17771,['Goldberg D'],"['Goldberg, David E.']",[],,[],['Metaheuristic Optimization Algorithms Research'],"['Pascal (unit)', 'Computer science', 'Genetic programming', 'Genetic algorithm', 'Machine learning', 'Artificial intelligence', 'Quality control and genetic algorithms', 'Theoretical computer science', 'Algorithm', 'Programming language', 'Meta-optimization']","David Goldberg's Genetic Algorithms in Search, Optimization and Machine Learning is by far the bestselling introduction to genetic algorithms. Goldberg is one of the preeminent researchers in the field--he has published over 100 research articles on genetic algorithms and is a student of John Holland, the father of genetic algorithms--and his deep understanding of the material shines through. The book contains a complete listing of a simple genetic algorithm in Pascal, which C programmers can easily understand. The book covers all of the important topics in the field, including crossover, mutation, classifier systems, and fitness scaling, giving a novice with a computer science background enough information to implement a genetic algorithm and describe genetic algorithms to a friend.",,,,,"Goldberg D, 1988, "
OPENALEX,W1583837637,10.1145/1273496,,Proceedings of the 24th international conference on Machine learning,,,2007,Preprint,en,11733,[],[],[],,[],['Machine Learning in Bioinformatics'],"['Presentation (obstetrics)', 'Library science', 'Computer science', 'Medical education', 'Medicine', 'Radiology']","This volume contains the papers accepted to the 24th International Conference on Machine Learning (ICML 2007), which was held at Oregon State University in Corvalis, Oregon, from June 20th to 24th, 2007. ICML is the annual conference of the International Machine Learning Society (IMLS), and provides a venue for the presentation and discussion of current research in the field of machine learning. These proceedings can also be found online at: http://www.machinelearning.org. This year there were 522 submissions to ICML. There was a very thorough review process, in which each paper was reviewed by three program committee (PC) members. Authors were able to respond to the initial reviews, and the PC members could then modify their reviews based on online discussions and the content of this author response. For the first time this year there were two discussion periods led by the senior program committee (SPC), one just before and one after the submission of author responses. At the end of the second discussion period, the SPC members gave their recommendations and provided a summary review for each of their papers. Also for the first time, authors were asked to submit a list of changes with their final accepted papers, which was checked by the SPCs to ensure that reviewer comments had been addressed. Apart from the length restrictions on papers and the compressed time frame, the review process for ICML resembles that of many journal publications. In total, 150 papers were accepted to ICML this year, including a very small number of papers which were initially conditionally accepted, yielding an overall acceptance rate of 29%. ICML attracts submissions from machine learning researchers around the globe. The 150 accepted papers this year were geographically distributed as follows: 66 papers had a first author from the US, 32 from Europe, 19 from China or Hong Kong, 11 from Canada, 6 from India, 5 each from Australia and Japan, 3 from Israel, and 1 each from Korea, Russia and Taiwan. In addition to the main program of accepted papers, which includes both a talk and poster presentation for each paper, the ICML program included 3 workshops and 8 tutorials on machine learning topics which are currently of broad interest. We were also extremely pleased to have David Heckerman (Microsoft Research), Joshua Tenenbaum (Massachussetts Institute of Technology), and Bernhard Schölkopf (Max Planck Institute for Biological Cybernetics) as the invited speakers this year. Thanks to sponsorship by the Machine Learning Journal, we were able to award a number of outstanding student paper prizes. We were fortunate this year that ICML was co-located with the International Conference on Inductive Logic Programming (ILP 2007). ICML and ILP held joint sessions on the first day of ICML 2007.",,,,,"NA, 2007, "
OPENALEX,W1503398984,,,Machine learning a probabilistic perspective,,,2012,Book,en,9327,['Murphy K'],"['Murphy, Kevin P.']",[],,[],"['Computational Physics and Python Applications', 'Multidisciplinary Science and Engineering Research']","['Computer science', 'Probabilistic logic', 'Artificial intelligence', 'Field (mathematics)', 'Conditional random field', 'Heuristic', 'Machine learning', 'Graphical model', 'Regularization (linguistics)', 'Software', 'Programming language', 'Pure mathematics', 'Mathematics']","Today's Web-enabled deluge of electronic data calls for automated methods of data analysis. Machine learning provides these, developing methods that can automatically detect patterns in data and then use the uncovered patterns to predict future data. This textbook offers a comprehensive and self-contained introduction to the field of machine learning, based on a unified, probabilistic approach. The coverage combines breadth and depth, offering necessary background material on such topics as probability, optimization, and linear algebra as well as discussion of recent developments in the field, including conditional random fields, L1 regularization, and deep learning. The book is written in an informal, accessible style, complete with pseudo-code for the most important algorithms. All topics are copiously illustrated with color images and worked examples drawn from such application domains as biology, text processing, computer vision, and robotics. Rather than providing a cookbook of different heuristic methods, the book stresses a principled model-based approach, often using the language of graphical models to specify models in a concise and intuitive way. Almost all the models described have been implemented in a MATLAB software package--PMTK (probabilistic modeling toolkit)--that is freely available online. The book is suitable for upper-level undergraduates with an introductory-level college math background and beginning graduate students.",,,,,"Murphy K, 2012, "
OPENALEX,W1901616594,10.1126/science.aaa8415,26185243,"Machine learning: Trends, perspectives, and prospects",SCIENCE,Science,2015,Review,en,9474,"['Jordan M', 'Mitchell T']","['Jordan, Michael I.', 'Mitchell, Tom M.']","['University of California, Berkeley, US', 'Carnegie Mellon University, US']","University of California, Berkeley, US","['W99485931', 'W1503398984', 'W1512585804', 'W1554944419', 'W1569098853', 'W1873763122', 'W1970472910', 'W1992570774', 'W1999352252', 'W2006452405', 'W2019363670', 'W2042469398', 'W2047281923', 'W2076063813', 'W2097381042', 'W2100495367', 'W2117726420', 'W2127180992', 'W2132001804', 'W2145339207', 'W2146774335', 'W2151320232', 'W2160815625', 'W2163605009', 'W2174706414', 'W2618530766', 'W3102480238', 'W4214717370', 'W4231109964', 'W4238893454', 'W4244670803', 'W4292363360']","['Anomaly Detection Techniques and Applications', 'Machine Learning and Data Classification', 'Data Stream Mining Techniques']","['Intersection (aeronautics)', 'Computer science', 'Artificial intelligence', 'Core (optical fiber)', 'Data science', 'Machine learning', 'Big data', 'Computation', 'Lying', 'Engineering', 'Data mining', 'Aerospace engineering', 'Radiology', 'Telecommunications', 'Medicine', 'Algorithm']","Machine learning addresses the question of how to build computers that improve automatically through experience. It is one of today's most rapidly growing technical fields, lying at the intersection of computer science and statistics, and at the core of artificial intelligence and data science. Recent progress in machine learning has been driven both by the development of new learning algorithms and theory and by the ongoing explosion in the availability of online data and low-cost computation. The adoption of data-intensive machine-learning methods can be found throughout science, technology and commerce, leading to more evidence-based decision-making across many walks of life, including health care, manufacturing, education, financial modeling, policing, and marketing.",349,6245,255,260,"Jordan M, 2015, Science"
