DB,UT,DI,PMID,TI,SO,JI,PY,DT,LA,TC,AU,AF,C1,RP,CR,DE,ID,AB,VL,IS,BP,EP,SR
SCOPUS,105037729839,10.1016/j.fuel.2026.139738,,Development of machine-learning-based early diagnostic technique for combustion instability in hydrogen–natural gas co-firing gas turbine combustors,FUEL,Fuel,2027,Article,English,0,[],[],[],,[],[],[],,427,,,,"NA, 2027, Fuel"
SCOPUS,105036641082,10.1016/j.fuel.2026.139624,,Modeling catalytic hydrodeoxygenation of lignin-derived phenolic compounds: A machine learning approach,FUEL,Fuel,2027,Article,English,0,[],[],[],,[],[],[],,427,,,,"NA, 2027, Fuel-a"
SCOPUS,105038733607,10.1016/j.jfoodeng.2026.113165,,A machine learning surrogate for finite element modelling of vacuum cooling in leafy vegetables: Real-Time prediction of heat and mass transfer,JOURNAL OF FOOD ENGINEERING,Journal of Food Engineering,2027,Article,English,0,[],[],[],,[],[],[],,420,,,,"NA, 2027, Journal of Food Engineering"
SCOPUS,105038611961,10.1016/j.fuel.2026.139908,,Prediction of laminar burning velocity of NH3/H2/air mixtures and NH3/CH4/air mixtures based on interpretable machine learning,FUEL,Fuel,2027,Article,English,0,[],[],[],,[],[],[],,427,,,,"NA, 2027, Fuel-a-b"
SCOPUS,105037726028,10.1016/j.fuel.2026.139711,,Machine learning estimation of H2/brine/rock wettability across geosystems for underground hydrogen storage,FUEL,Fuel,2027,Article,English,0,[],[],[],,[],[],[],,427,,,,"NA, 2027, Fuel-a-b-c"
SCOPUS,105038141666,10.1016/j.fuel.2026.139798,,Investigation on the suppression of Gas-Coaldust explosions in pipeline Networks by a physicochemical synergistic composite Suppressant: Integrated experimental and Machine learning potential simulation studies,FUEL,Fuel,2027,Article,English,0,[],[],[],,[],[],[],,427,,,,"NA, 2027, Fuel-a-b-c-d"
SCOPUS,105037812669,10.1016/j.fuel.2026.139691,,Accelerated prediction and parameter optimization of catalyst layer thermal conductivity through stochastic microstructure and machine learning,FUEL,Fuel,2027,Article,English,0,[],[],[],,[],[],[],,427,,,,"NA, 2027, Fuel-a-b-c-d-e"
SCOPUS,105038020790,10.1016/j.fuel.2026.139723,,An enhanced interpretable ML approach for forecasting long-term CO2 and N2O emissions via optimized random forest modeling,FUEL,Fuel,2027,Article,English,0,[],[],[],,[],[],[],,427,,,,"NA, 2027, Fuel-a-b-c-d-e-f"
SCOPUS,105038002790,10.1016/j.fuel.2026.139606,,Wettability of geological formations in a CO2 environment: Critical insights on macroscopic contact angle datasets,FUEL,Fuel,2027,Review,English,0,[],[],[],,[],[],[],,427,,,,"NA, 2027, Fuel-a-b-c-d-e-f-g"
SCOPUS,105038056458,10.1016/j.fuel.2026.139590,,Impurity effects on CO2 trapping indices: A numerical study for geological storage,FUEL,Fuel,2027,Article,English,0,[],[],[],,[],[],[],,427,,,,"NA, 2027, Fuel-a-b-c-d-e-f-g-h"
SCOPUS,105038787409,10.1016/j.fuel.2026.139841,,Fully elucidating catalyst-driven combustion mechanisms in double-base propellants through molecular dynamics simulations,FUEL,Fuel,2027,Article,English,0,[],[],[],,[],[],[],,427,,,,"NA, 2027, Fuel-a-b-c-d-e-f-g-h-i"
SCOPUS,105038054052,10.1016/j.jmst.2026.04.032,,Anisotropic irradiation response and phase transition of β-Ga2O3 under 10 MeV electron irradiation,JOURNAL OF MATERIALS SCIENCE AND TECHNOLOGY,Journal of Materials Science and Technology,2027,Article,English,0,[],[],[],,[],[],[],,276,,259,267,"NA, 2027, Journal of Materials Science and Technology"
SCOPUS,105039308062,10.1016/j.fuel.2026.139822,,Recent advances in applications of laser-induced breakdown spectroscopy (LIBS) in petroleum and petrochemical industry analysis,FUEL,Fuel,2027,Review,English,0,[],[],[],,[],[],[],,427,,,,"NA, 2027, Fuel-a-b-c-d-e-f-g-h-i-j"
SCOPUS,105029295650,10.61838/kman.intjssh.4381,,An Interactive Real-Time System for Pose Classification in Children’s Yoga and Kavayat Exercises,INTERNATIONAL JOURNAL OF SPORT STUDIES FOR HEALTH,International Journal of Sport Studies for Health,2026,Article,English,0,[],[],[],,[],[],[],,9,1,,,"NA, 2026, International Journal of Sport Studies for Health"
SCOPUS,105036456625,10.1080/19490976.2026.2644677,42015346,Gut microbiome and metabolic health: mechanisms and precision interventions,GUT MICROBES,Gut Microbes,2026,Review,English,0,[],[],[],,[],[],[],,18,1,2644677,,"NA, 2026, Gut Microbes"
SCOPUS,105036388522,10.35566/jbds/thakur,,Computational Approaches to Diabetes Risk Assessment: A Review of Data-Driven Techniques,JOURNAL OF BEHAVIORAL DATA SCIENCE,Journal of Behavioral Data Science,2026,Review,English,0,[],[],[],,[],[],[],,6,1,136,151,"NA, 2026, Journal of Behavioral Data Science"
SCOPUS,105037390623,10.36001/ijphm.2026.v17i1.4724,,Remaining Useful Life Estimation for Aircraft Engines with Risk-Aware Prediction Intervals via Conformalized Quantile Regression,INTERNATIONAL JOURNAL OF PROGNOSTICS AND HEALTH MANAGEMENT,International Journal of Prognostics and Health Management,2026,Article,English,0,[],[],[],,[],[],[],,17,1,1,16,"NA, 2026, International Journal of Prognostics and Health Management"
SCOPUS,105027458145,10.36001/ijphm.2026.v17i1.4567,,Artificial Intelligence Technologies for Aircraft Maintenance: A Systematic Literature Review,INTERNATIONAL JOURNAL OF PROGNOSTICS AND HEALTH MANAGEMENT,International Journal of Prognostics and Health Management,2026,Article,English,1,[],[],[],,[],[],[],,17,1,,,"NA, 2026, International Journal of Prognostics and Health Management-a"
SCOPUS,105036303879,10.1016/j.jmst.2026.02.052,,In-situ residual stress mitigation of laser powder bed fusion Ti-6.5Al-2Zr-1Mo-1V using an active learning framework,JOURNAL OF MATERIALS SCIENCE AND TECHNOLOGY,Journal of Materials Science and Technology,2026,Article,English,0,[],[],[],,[],[],[],,275,,212,223,"NA, 2026, Journal of Materials Science and Technology"
SCOPUS,105035711891,10.1016/j.jmst.2026.03.060,,An erosion-guided design paradigm for decoupling multi-field performance in extreme environments,JOURNAL OF MATERIALS SCIENCE AND TECHNOLOGY,Journal of Materials Science and Technology,2026,Article,English,0,[],[],[],,[],[],[],,275,,66,77,"NA, 2026, Journal of Materials Science and Technology-a"
SCOPUS,105035714819,10.1016/j.jmst.2026.04.007,,Sustainable electromagnetic wave management: Structural engineering based on bio-derived graphene hybrid carbon,JOURNAL OF MATERIALS SCIENCE AND TECHNOLOGY,Journal of Materials Science and Technology,2026,Review,English,0,[],[],[],,[],[],[],,275,,49,65,"NA, 2026, Journal of Materials Science and Technology-a-b"
SCOPUS,105037808745,10.12307/2026.404,,Xiao Ban Tong Mai Fang regulates autophagy via targeting miR-126-3p: bioinformatics analysis for prevention and treatment of atherosclerosis,CHINESE JOURNAL OF TISSUE ENGINEERING RESEARCH,Chinese Journal of Tissue Engineering Research,2026,Article,English,0,[],[],[],,[],[],[],,30,35,9355,9364,"NA, 2026, Chinese Journal of Tissue Engineering Research"
SCOPUS,105037763769,10.12307/2026.266,,Animal models of Parkinson’s disease: research status and trend analysis,CHINESE JOURNAL OF TISSUE ENGINEERING RESEARCH,Chinese Journal of Tissue Engineering Research,2026,Article,English,0,[],[],[],,[],[],[],,30,35,9345,9354,"NA, 2026, Chinese Journal of Tissue Engineering Research-a"
SCOPUS,105026592234,10.31127/tuje.1779491,,Analysis of Factors Affecting Academic Success with Machine Learning: Data-Driven Inferences in Education,TURKISH JOURNAL OF ENGINEERING,Turkish Journal of Engineering,2026,Article,English,0,[],[],[],,[],[],[],,10,1,48,62,"NA, 2026, Turkish Journal of Engineering"
SCOPUS,105026609992,10.31127/tuje.1786498,,Towards Reliable Truth Detection: Enhancing Fake News Classification with Hybrid Feature Engineering and Ensemble Learning,TURKISH JOURNAL OF ENGINEERING,Turkish Journal of Engineering,2026,Article,English,1,[],[],[],,[],[],[],,10,1,222,229,"NA, 2026, Turkish Journal of Engineering-a"
SCOPUS,105026585665,10.31127/tuje.1763321,,Feature Selection Approach to Optimize Depression Detection from EHR Data,TURKISH JOURNAL OF ENGINEERING,Turkish Journal of Engineering,2026,Article,English,1,[],[],[],,[],[],[],,10,1,116,128,"NA, 2026, Turkish Journal of Engineering-a-b"
SCOPUS,105035883096,10.1016/j.fuel.2026.139511,,Machine learning-guided catalyst selection for bio-oil hydrodeoxygenation to maximize hydrocarbon yields toward renewable naphtha and sustainable aviation fuel,FUEL,Fuel,2026,Article,English,1,[],[],[],,[],[],[],,426,,,,"NA, 2026, Fuel"
SCOPUS,105036533745,10.1016/j.fuel.2026.139591,,Machine learning-guided optimization of lignocellulose-derived biochar precursors with tailored properties for energy storage applications,FUEL,Fuel,2026,Article,English,1,[],[],[],,[],[],[],,426,,,,"NA, 2026, Fuel-a"
SCOPUS,105025464892,10.1109/OJPEL.2025.3643511,,Machine Learning-Based Package-Embedded Inductor Optimization for Integrated Voltage Regulators,IEEE OPEN JOURNAL OF POWER ELECTRONICS,IEEE Open Journal of Power Electronics,2026,Article,English,0,[],[],[],,[],[],[],,7,,106,117,"NA, 2026, IEEE Open Journal of Power Electronics"
SCOPUS,105036491403,10.1016/j.fuel.2026.139562,,Performance comparison of machine learning and GPU accelerated solvers in high-fidelity simulation of Cambridge stratified flames,FUEL,Fuel,2026,Article,English,0,[],[],[],,[],[],[],,426,,,,"NA, 2026, Fuel-a-b"
SCOPUS,105038978539,10.1016/j.cam.2026.117787,,Modified bi-inertial viscosity forward-backward splitting algorithms for inclusion problems: Application to breast cancer classification,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,Journal of Computational and Applied Mathematics,2026,Article,English,0,[],[],[],,[],[],[],,488,,,,"NA, 2026, Journal of Computational and Applied Mathematics"
SCOPUS,105036512712,10.1016/j.fuel.2026.139424,,"Aquifer identification and CO2 dissolution-storage potential in the Cretaceous Mannville Group of the Alberta oilsands region, Canada",FUEL,Fuel,2026,Article,English,0,[],[],[],,[],[],[],,426,,,,"NA, 2026, Fuel-a-b-c"
SCOPUS,105027285827,10.28927/SR.2026.005425,,Development of a low-cost Raspberry Pi-based electric piezocone system for cone penetration testing,SOILS AND ROCKS,Soils and Rocks,2026,Article,English,0,[],[],[],,[],[],[],,49,1,,,"NA, 2026, Soils and Rocks"
SCOPUS,105036427295,10.1016/j.fuel.2026.139573,,Fuel economy and emission optimization of spark-ignition pure methanol engine based on gradient boosting neural network and many-objective Bayesian optimization,FUEL,Fuel,2026,Article,English,0,[],[],[],,[],[],[],,426,,,,"NA, 2026, Fuel-a-b-c-d"
SCOPUS,105030904480,10.32687/0869-866X-2026-34-1-108-112,41723613,THE PRECISION APPROACH IN CONTEMPORARY NEUROSURGICAL PRACTICE: A REVIEW,PROBLEMY SOTSIAL NOI GIGIENY ZDRAVOOKHRANENIIA I ISTORII MEDITSINY,Problemy Sotsial Noi Gigieny Zdravookhraneniia I Istorii Meditsiny,2026,Review,English,0,[],[],[],,[],[],[],,34,1,108,112,"NA, 2026, Problemy Sotsial Noi Gigieny Zdravookhraneniia I Istorii Meditsiny"
SCOPUS,105029435952,10.1108/AEAT-09-2025-0308,,Surrogate model-assisted machine learning optimization of aerospace coating deposition processes for enhanced performance and uniformity,AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,Aircraft Engineering and Aerospace Technology,2026,Article,English,0,[],[],[],,[],[],[],,98,11,1,9,"NA, 2026, Aircraft Engineering and Aerospace Technology"
SCOPUS,105026627624,10.1108/IJLSS-03-2025-0047,,Project portfolio selection and prioritization through supervised machine learning in continuous improvement projects,INTERNATIONAL JOURNAL OF LEAN SIX SIGMA,International Journal of Lean Six Sigma,2026,Article,English,0,[],[],[],,[],[],[],,17,8,27,55,"NA, 2026, International Journal of Lean Six Sigma"
SCOPUS,105033409711,10.1108/ECAM-04-2024-0427,,Strategies for enhancing construction digitalisation: a machine learning-based sensitivity analysis,ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT,Engineering Construction and Architectural Management,2026,Article,English,0,[],[],[],,[],[],[],,33,15,115,136,"NA, 2026, Engineering Construction and Architectural Management"
SCOPUS,105028864081,10.1108/JAOC-05-2025-0166,,Corporate financial distress prediction: a machine learning approach in the era of big data,JOURNAL OF ACCOUNTING AND ORGANIZATIONAL CHANGE,Journal of Accounting and Organizational Change,2026,Article,English,1,[],[],[],,[],[],[],,22,7,31,65,"NA, 2026, Journal of Accounting and Organizational Change"
SCOPUS,105035612405,10.1108/MD-04-2025-0988,,Fostering employees' adoption of machine learning-enabled technologies in asset pricing,MANAGEMENT DECISION,Management Decision,2026,Article,English,0,[],[],[],,[],[],[],,64,13,85,125,"NA, 2026, Management Decision"
SCOPUS,105033502378,10.1108/JAL-12-2025-0693,,What accountants need to know about artificial intelligence and machine learning: a review and call for future research,JOURNAL OF ACCOUNTING LITERATURE,Journal of Accounting Literature,2026,Review,English,1,[],[],[],,[],[],[],,48,5,133,158,"NA, 2026, Journal of Accounting Literature"
SCOPUS,105035593933,10.1108/JHTI-10-2025-1183,,A methodological scoping review for video analysis in hospitality research,JOURNAL OF HOSPITALITY AND TOURISM INSIGHTS,Journal of Hospitality and Tourism Insights,2026,Review,English,0,[],[],[],,[],[],[],,9,11,60,81,"NA, 2026, Journal of Hospitality and Tourism Insights"
SCOPUS,105028653571,10.1108/JOSM-01-2025-0035,,Augmenting human service agents with intelligent technologies,JOURNAL OF SERVICE MANAGEMENT,Journal of Service Management,2026,Review,English,0,[],[],[],,[],[],[],,37,6,26,49,"NA, 2026, Journal of Service Management"
SCOPUS,105026662464,10.1108/ECAM-11-2024-1531,,Intentions prediction for human–robot collaboration in utility tunnel maintenance,ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT,Engineering Construction and Architectural Management,2026,Article,English,0,[],[],[],,[],[],[],,33,15,1,21,"NA, 2026, Engineering Construction and Architectural Management-a"
SCOPUS,105036575859,10.46634/riics.535,,Explainable Machine Learning to Understand the Social and Biological Determinants of Type 2 Diabetes in Mexico,REVISTA DE INVESTIGACION E INNOVACION EN CIENCIAS DE LA SALUD,Revista De Investigacion E Innovacion En Ciencias De La Salud,2026,Article,English,0,[],[],[],,[],[],[],,8,2,1,15,"NA, 2026, Revista De Investigacion E Innovacion En Ciencias De La Salud"
SCOPUS,105026815762,10.1590/1983-40632026v5683415,,Innovations in lettuce seed pelleting: sustainable materials and machine learning analysis,PESQUISA AGROPECUARIA TROPICAL,Pesquisa Agropecuaria Tropical,2026,Article,English,0,[],[],[],,[],[],[],,56,,,,"NA, 2026, Pesquisa Agropecuaria Tropical"
SCOPUS,105028211049,10.34190/ejel.24.1.4409,,AI-Supported Learning in Online Discussion Forums: A Scoping Review,ELECTRONIC JOURNAL OF E LEARNING,Electronic Journal of E Learning,2026,Article,English,1,[],[],[],,[],[],[],,24,1,19,35,"NA, 2026, Electronic Journal of E Learning"
SCOPUS,105032652153,10.1590/1679-7825/e8817,,Predicting the Punching Shear Capacity of RC Slab-Column Connections with FRP Bars Using Machine Learning Based Algorithms,LATIN AMERICAN JOURNAL OF SOLIDS AND STRUCTURES,Latin American Journal of Solids and Structures,2026,Article,English,0,[],[],[],,[],[],[],,23,2,,,"NA, 2026, Latin American Journal of Solids and Structures"
SCOPUS,105025992333,10.4108/airo.9975,,AI-Driven Predictive Maintenance in Infrastructure and Facilities Management,EAI ENDORSED TRANSACTIONS ON AI AND ROBOTICS,Eai Endorsed Transactions on AI and Robotics,2026,Article,English,1,[],[],[],,[],[],[],,5,,,,"NA, 2026, Eai Endorsed Transactions on AI and Robotics"
SCOPUS,105024492660,10.1109/JSTARS.2025.3640403,,Elevation and Vegetation Cover Dominate Inter-Basin Water Use Efficiency Patterns in China,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2026,Article,English,0,[],[],[],,[],[],[],,19,,1533,1548,"NA, 2026, IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing"
SCOPUS,105030493245,10.1140/epjqt/s40507-026-00463-5,,Quantum-driven enhanced machine learning algorithm for intrusion detection in Internet of things environment,EPJ QUANTUM TECHNOLOGY,EPJ Quantum Technology,2026,Article,English,0,[],[],[],,[],[],[],,13,1,,,"NA, 2026, EPJ Quantum Technology"
SCOPUS,105029946316,10.1140/epjqt/s40507-025-00459-7,,Encrypted network traffic analysis using quantum machine learning,EPJ QUANTUM TECHNOLOGY,EPJ Quantum Technology,2026,Article,English,0,[],[],[],,[],[],[],,13,1,,,"NA, 2026, EPJ Quantum Technology-a"
SCOPUS,105033972545,10.1007/s44251-025-00113-5,,"Machine learning in thermal spraying: applications, challenges, and future perspectives",SURFACE SCIENCE AND TECHNOLOGY,Surface Science and Technology,2026,Review,English,0,[],[],[],,[],[],[],,4,1,,,"NA, 2026, Surface Science and Technology"
SCOPUS,105034758575,10.1186/s12911-026-03390-8,41736115,Acute respiratory infections prediction through social media data and machine learning: a systematic review,BMC MEDICAL INFORMATICS AND DECISION MAKING,BMC Medical Informatics and Decision Making,2026,Review,English,0,[],[],[],,[],[],[],,26,1,,,"NA, 2026, BMC Medical Informatics and Decision Making"
